question,answer,intent,label
코로나 음성또는 양성 제가 코로나 검사를하고 음성이 나왔는데 지금 또 열나고 엄청어지럽고 킁킁대고 그래요..아니면 제가 울었는데..울어서 열이나는 경우도 있나요??..혹시 오늘이나 내일 검사했을때 코로나 확진됐을경우 있나요?,죄송해요 무슨 말씀인지 이해하기 어려워요. 다른 형태로 질문을 해주시겠어요?,알수없음,84
코로나 자가격리..? 안녕하세요 제 친구 어머니가 코로나에 걸리셔 그 친구도 코로나에 걸렸습니다 전 걸리지 않았구요 친구를 코로나 검사 받기전에 봤는데 밀첩접촉자인데 전 음성인데 2주 자가격리를 해야되나요?,"지인분의 검사 결과가 양성이라면, 역학조사를 통해서 코로나에 확진된 날짜를 조사하게 되고, 그 날짜에 질문자님을 만났다면 2주간 자가격리하셔야 됩니다.",밀접접촉자 음성,66
코로나 잠복기간이 있다고 하는데 Pcr검사에 음성나왔으면 코로나가 안걸린건가요? 잠복기간은 pcr검사로 확인못하나요?,잠복기간 내에 진행된 검사도 신뢰하셔도 좋습니다.,잠복기간 검사,25
코로나질문 코로나 기본증상(고열.기침.구토.설사)중에 하나만있어도 코로나인가요 아니면발열동반하면서 기침.구토.설사를4가지를다동반해야만 코로나인건가요 의사님들의 자세한 답변듣고싶어요!!!,"코로나 바이러스는 급성호흡기및 폐질환입니다. 일반적인 코로나의 증상은 오한및 38도 이상의 발열 기침, 가래, 호흡곤란, 목아픔이 있습니다. 검사를 안해보고 증상만으로 코로나 진단을 하는건 불가능 합니다. 코로나 진단건사를 하실려면 1339번이나 가까운 보건소에 방문하시기 바랍니다.",증상 질문,0
위드코로나에 관해서요 위드코로나 시행하면 만약에 밀접접촉자랑 동선곂쳐도 2주 자가격리 없나요?? 2차백신맞구 2주 지났습니다 그게 젤 궁금합니다ㅜㅜ 위드코로나 시행되면 국내여행 다녀볼까해서요ㅜㅜ 거의 1년이상 여행을 못갸서요 알려주세요ㅜㅜ,"세부지침에 대해서 정해진건 없습니다. 하지만 2차 접종 완료자 또한 돌파감염의 우려가 있으므로, 선별검사 및 2주간의 자가격리가 이루어지게 됩니다.",위드코로나 자가격리,35
위드코로나 등교 11월부터 위드코로나 등교 바꼈잖아요. 이제 학교는 일주일동안 가는건가요? 위드코로나 등교 일정 좀 알려주세요.,확정된 바는 없으나 학교교장 재량으로 등교 일정이 변경될 가능성도 있습니다.,위드코로나 등교,34
"이거 코로나 아니죠? , 너무 답답해서 힘들어요ㅠㅠ 혹시 코로나여서 학교 친구들이랑 가족들한테 옮길까봐 너무 무서운데 이거 코로나일까요? 그리고 코로나 증상 알려주세요 제가 안아프다가 저번주 토욜에 갑자기 아파진 거여서 잠복기였다 코로나 걸린걸까봐 자꾸 겁나네요","현시국상 코로나 확진여부에 대한 불안정한 지위와 상황에서 벗어나시는 것이 급선무이므로 우선적으로 보건소 등 선별진료소에서의 검사를 진행하고, 보건소 등 전국 선별진료소에서의 코로나 검사는 무료이며, 선별진료소가 아닌 병원 등에서의 검사는 유료이오니, 선별진료소에서 검사를 받아보시길 권해드립니다.",경미한 의심증상,2
"코로나완치 후 백신 저는 한달 반 전에 코로나에 확진되었다가 완치한 고2 학생입니다. 학교에서 이제 고1,2 백신 접종 안내문을 받았는데요. 코로나 완치하고 나면 항체가 생기나요? 코로나 완치, 사례가 있다고 해서 접종을 해야할지 말아야 할지 고민입니다. 코로나 완치 후 항체가 생기는지 알려주세요. ㅠㅠ",코로나 걸렸어도 백신 맞아야 또 걸릴 확률이 줄어든다고 해서 접종 권장하고 있어요!,완치자 접종,57
그저께부터 열과 두통 어지러움증 등이 있습니다. 열은 37.4에서 36.5를 왔다 갔다 하는중이고요 코로나 접촉자는 아닌데 코로나 일 가능성이 높나요?,열은 좀더 자주 측정하면서 경과를 보셔야합니다. 이러다가 열이오르면 1339 통화해보시는것이 좋겠습니다. 요즈음 몸이 불편한 증상이 생기면 코로나 때문에 걱정이 많습니다. 증상으로 코로나를 구별할 수는 없지만 코로나는 아닌것 같으니 너무 걱정하지마세요,경미한 의심증상,2
증상 월요일에 비를 맞아서 감기에 걸렸는데 이거 코로나 인가요? 증상은 목이 살짝 아프고 기침하구요(가래가 섞인 기침) 묽은(?) 콧물이 나와요 그래서 학교 조퇴를 했는데 이거 코로나 인가요..?,"코로나19 환자들이 겪는 증상에는 일정한 순서가 있고, 보통은 발열과 함께 기침, 설사가 동반되면 코로나라고 합니다.",증상 질문,0
안녕 하세요. 위드코로나로 질문 할것이 있는데 위드코로나가되면 대면 예배가능한가요?,"위드코로나 이후 수용인원의 50%로 교회 예배 참석이 가능합니다. (단, 접종완료자로만 구성됐을 경우에는 인원 제한이 없습니다.)",위드코로나 종교시설,36
서울 코로나 4단계 코로나 4단계 언제쯤 끝날까요 ㅠㅠ,죄송해요 무슨 말씀인지 이해하기 어려워요. 다른 형태로 질문을 해주시겠어요?,알수없음,84
위드코로나 중단 계속 확진자가 3천명대인데 위드코로나 중단 될 확률 있나요? 위드코로나 중단 되어도 고등학생은 전면등교인가요?,"위드코로나 중단조건을 보면 중환자실, 입원병상 가동률이 75%를 넘거나, 주간 평가 결과가 위험도 '매우 높음'인 경우 등의 상황에서 '비상 계획'을 발동한다고 밝혔습니다. 상세한 정보는 다음 링크에서 확인 가능합니다. http://www.ggilbo.com/news/articleView.html?idxno=881787",위드코로나 중단 조건,32
"코로나 의심 증상이 있는데.. 인녕하세요 저는 13살 한 학생입니다 아제인지 그저께인지 부터 코로나 감염증상이 보여요, 그런데 코로나는 아니겠죠?? 제가 어제도 놀고 해서요 그래도 방역지침 이니까 학교는 안가고, 받으면 코로나 검사도 하나요? 보셨을때 코로나 같나요?","코로나인지 아닌지 걱정하시는 것 같은데요, 너무 염려마시고 조금이라도 걱정되시고 불편하시다면 인근 가까운 보건소나 선별검사소에 가셔서 확실하고 빠른 진단 받아보시길 조심스럽게 추천드립니다~ 별일 없으실거에요 요즘 환절기라 감기증상도 많이 나타날 수 있습니다.",경미한 의심증상,2
코로나 증상 열은 안나고 기침만 하는데 목만 따가운면 코로나 일 수 도 있나요??,"코로나인지 아닌지 걱정하시는 것 같은데요, 너무 염려마시고 조금이라도 걱정되시고 불편하시다면 인근 가까운 보건소나 선별검사소에 가셔서 확실하고 빠른 진단 받아보시길 조심스럽게 추천드립니다~ 별일 없으실거에요 요즘 환절기라 감기증상도 많이 나타날 수 있습니다.",경미한 의심증상,2
코로나 검사 알바때문에 코로나 검사받아야하는데 코로나검사소 그냥 아무때나 가면 되나요? 그리고 코로나 검사비용도 있나요?,"코로나 검사의 경우 사회적거리두기 2단계 이상 시(또는 별도 공지 기간), 역학적 연관성이나 증상 유무와 관계없이 코로나 19 진단검사가 가능합니다. ◈ 현재 선별진료소에서의 코로나 검사는 무료이며, 선별진료소가 아닌 병원 등에서는 검사가 유로로 진행되고 있습니다.",코로나 검사 비용,13
코로나 2차 맞았는데 양성이래요 코로나 2차 화이자 백신을 9/18접종 받고 밀접촉도 없이 지내다가 금욜날 열이나서 병원에서 약 처방 받고 어제 다시 다른 병원가서 진료 받았을때 코로나 검사를 받아보라 물어봐서 어제 받고 오늘 양성이 떴습니다. 2차 접종 한달이 지났고 접촉자도 없는데 이게 가능한 일인가요?,"백신은 2차까지 접종했어도 코로나19 돌파감염이 일어날 수 있습니다. 다만, 백신 접종을 통해 완치 후 후유증을 크게 줄일 수 있습니다.",접종완료자 감염,58
코로나 자가격리 해제 지원금 코로나 자가격리 후에 주는 지원금있나요? 코로나 자가격리 할때 주는 지원 물품되신6만원 말고도 주는게 있다던데 저가 고등학생인데 주나요?신청하면?,코로나 자가격리 대상자 기준 / 코로나 자가격리 생활수칙 [가족 동거인 포함] / 자가격리 지원금 규모 / 생활지원비 신청 / 지원금 제외 대상 / 자가격리 위반시 처벌의 자세한 정보는 다음 링크에 있습니다. https://procondition99.tistory.com/668,자가격리 수칙,67
침삼킬때 목아픔 코로나일까요? 2주전쯤 화이자 1차 맞은 중학생입니다 침삼킬때 목이아파 코로나 검사를 받으러갔는데 이거 코로나일까요? 열은 없습니다,열없이 정상인처럼 보일때도 많습니다. 현재는 인후염 시작하는 초기정도 반응으로 여겨집니다. 걱정되시면 1339나 동네 보건소에 전화문의해보신후에 병원을 방문하셔도 됩니다.,인후통 비교,41
"안녕하세요. 위드 코로나 2단계 할 수 있나요? 너무 간절한게 위드 코로나 2,3단계인데 못할수도 있다 그래서요ㅠㅠ",죄송해요 무슨 말씀인지 이해하기 어려워요. 다른 형태로 질문을 해주시겠어요?,알수없음,84
코로나 바이러스 백신 제 친구가 그러는건데요 코로나 백신안에 코로나바이러스가 들어있나뇨?지금 이걸로 엄청 싸우고있어요,"mRNA 백신은 코로나19 바이러스의 스파이크 유전자 정보만 포함됩니다. → 화이자, 모더나",백신생성 질문,68
저 코로나일까요? 열도 없고 코도 안막히고 목만 그냥 심각히 아픕니다 계속 목이 쉰 상태에 침삼키면 아프고 가래가 엄청 나오고 재채기도 나옵니다. 목만 문제가 있는데 코로나 아니겠죠? 코로나가 아니라면..어떤 증상인지 대충 알 수 있을까요?,열없이 정상인처럼 보일때도 많습니다. 현재는 인후염 시작하는 초기정도 반응으로 여겨집니다. 걱정되시면 1339나 동네 보건소에 전화문의해보신후에 병원을 방문하셔도 됩니다.,인후통 비교,41
"코로나?? 위드코로나?? 아직 코로나는 치료제도 제대로 보급되지도 않았는데 무슨 생각으로 위드코로나 시행을 하는거죠? 뭐 사망률이 높은게 아니라 해도 위드코로나 시행으로 인해 확진자가 늘어나면, 감염,전염 또한 상당히 쉽게 전파되는 병인데 무슨 생각으로 위드코로나를 시행하는지 모르겠네요.",죄송해요 무슨 말씀인지 이해하기 어려워요. 다른 형태로 질문을 해주시겠어요?,알수없음,84
위드코로나가 무슨 뜻이나요,With + Corona 코로나와 같이 간다는 뜻이 담겨 있습니다. 코로나를 완전히 박멸할 수 없다고 판단하여 일반 감기처럼 생각하고 코로나와 같이 간다는 의미에요.,위드코로나,26
코로나 백신이 약한 코로나균을 투입해서 면역력을 기르는건가요? 제가 학교에 확진자가나와서 내일 코로나 검사를 해야하는데 또 1차 백신 접종 예약까지 있어서 그런데 백신을 미뤄야 하나요?,"약화된 바이러스를 주입하는 코로나19 백신은 없습니다. 1. 불활화된 코로나19 바이러스를 이용 (시노팜, 시노백) : 사독백신 2. 코로나19 바이러스의 유전 정보를 이용 → mRNA: 화이자, 모더나 / 아데노바이러스 벡터: 아스트로제네카, 얀센, 스푸트니크 V / 단백질 재조합: 노바백스",백신생성 질문,68
"코로나 검사 자가격리 인후통이나 감기증상으로 혹시 몰라 코로나 검사 받아보려고 하는데요, 따로 밀접접촉자는 아니긴한데 코로나 검사 받고 음성 나오면 자가격리를 해야되나요? 코로나 검사 후 자가격리 기준이뭔가요",코로나 자가격리 대상자 기준 / 코로나 자가격리 생활수칙 [가족 동거인 포함] / 자가격리 지원금 규모 / 생활지원비 신청 / 지원금 제외 대상 / 자가격리 위반시 처벌의 자세한 정보는 다음 링크에 있습니다. https://procondition99.tistory.com/668,자가격리 수칙,67
"독감인가요 코로나인가요 , 독감이거나 코로나라는데 약 처방을 이틀치 일단 처방을 받았어요 오늘 코로나 검사 하러가긴 하는데 저도 잘, 근데 코로나일 수도 있으니까 ㅠㅠ 아 참고로 나이는 14세 입니다 독감 증상에 어린, 아 그리고 코로나 백신은 1차까지만 맞았고 저번주에 접종했습니다 독감 백신은 안맞았어요","코로나인지 아닌지 걱정하시는 것 같은데요, 너무 염려마시고 조금이라도 걱정되시고 불편하시다면 인근 가까운 보건소나 선별검사소에 가셔서 확실하고 빠른 진단 받아보시길 조심스럽게 추천드립니다~ 별일 없으실거에요 요즘 환절기라 감기증상도 많이 나타날 수 있습니다.",경미한 의심증상,2
6월 13일 이후 코로나 검사 비용 실습 때문에 코로나 검사 받아야 되는데 보건소에서 코로나 검사 비용 얼마쯤 할까요,"◈ 코로나 검사의 경우 사회적거리두기 2단계 이상 시(또는 별도 공지 기간), 역학적 연관성이나 증상 유무와 관계없이 코로나 19 진단검사가 가능합니다. ◈ 현재 선별진료소에서의 코로나 검사는 무료이며, 선별진료소가 아닌 병원 등에서는 검사가 유로로 진행되고 있습니다.",코로나 검사 비용,13
코로나 검사 결과 코로나 검사를 오늘 19시에 받으면 결과는 몇시에 문자 오나요?? 내일 토요일인데 안 오고나 많이 늦게 나오나요??? 코로나 검사 병원에서 돈 내고 하면 얼마정도 드나료???,코로나 19 검사는 2가지 종류가 있습니다. PCR검사와 신속항원검사입니다. PCR검사의 경우 24시간이내 결과가 발급되고 신속항원의 경우 30분 이내 결과가 발급됩니다.,코로나 검사 기간,15
"코로나인가요? 제가 그저께에 코로나 검사를 받아서 어제 음성으로 나왔는데 오늘 4시부터 머리가 띵하고 발열이 나는거에요. 제가 그저께 저녁부터 오늘, 그리고 어제 잘때 선풍기틀고 잤어요. (옷은 반팔반바지 입음)그리고 오늘 차가운 음료수 먹다가 머리아프고 눈무겁고 열납니다. 코로나 인건가요?",열은 좀더 자주 측정하면서 경과를 보셔야합니다. 이러다가 열이오르면 1339 통화해보시는것이 좋겠습니다. 요즈음 몸이 불편한 증상이 생기면 코로나 때문에 걱정이 많습니다. 증상으로 코로나를 구별할 수는 없지만 코로나는 아닌것 같으니 너무 걱정하지마세요,경미한 의심증상,2
코로나 탈모..? 고2 여자고 코로나 완치한지 두달정도 됐는데 머리 감을 때마다 엄청 빠져요 원래 머리숱이 엄청 많고 모도 두꺼운데 지금은 모도 약간 얇아진거 같고 숱도 조금 줄어든거 같아요 코로나 후유증일까요?ㅠㅠ 안그래도 요즘 스트레스도 많은데,죄송해요 무슨 말씀인지 이해하기 어려워요. 다른 형태로 질문을 해주시겠어요?,알수없음,84
보통 얼마정도 격리실에 있어야 하나요?,격리실에서 나오려면 완치판정을 받아야하기때문에 평균적으로 2주정도 시간이 소요됩니다.,코로나 격리실,20
코로나로 죽나요?,기저질환이 없고 건강하시면 코로나로 죽지는 않으실 겁니다. 걱정마세요.,코로나 사망,21
저는 코로나 음성인데 양성하고 같이 생활하면 코로나 걸리나요?,양성인 분과 같은 곳에서 생활을 하다보면 감염될 가능성이 높습니다. 같은 시설에 계시더라도 식사시간은 따로 하시고요. 최대한 마스크는 꼭 착용해주세요,확진자 동거,63
"코로나 인후통 증상 목구멍에서 목주변이 좀 뭐라해야하지 뻐근하고 목이 잠기고 가래가 끼면서 또 목감기때문인가 목이 따끔따끔해서 기침이 나오고 콧물이 찔끔찔끔 나오는데 이거 코로나 증상인가요? 근데 제가 원래 가래가 잘 끼거든요, 이 외에는 별 다른 증상이 없는데 이거 코로나인가요?",열없이 정상인처럼 보일때도 많습니다. 현재는 인후염 시작하는 초기정도 반응으로 여겨집니다. 걱정되시면 1339나 동네 보건소에 전화문의해보신후에 병원을 방문하셔도 됩니다.,인후통 비교,41
"코로나 확정시 치료비 비급여? 저희 아버지께서 폐에 물이차서 원인을 찾던 중 코로나 검사를 했는데 양성판정이 나왔고 폐에 물을빼고 무슨 치료인지는 모르나 양쪽폐에, 이게 코로나면 의료보험 적용되야하지 않나요? 코로나라도 비급여치료가 있는건지 무엇때문인건지 질의 드립니다 상세한 답변 부탁드려요",코로나19 확진 시 발현되는 증상이 100% 코로나로 인한 것이라면 치료비용은 국가에서 부담합니다. 다만 방역지침 위반으로 인한 확진 시에는 구상권 등이 청구될 수 있습니다.,코로나 치료 비용,14
위드코로나에 질문입니다. 1.우리나라는 위드코로나 언제 합니까? 2.다른나라는 위드코로나 이미 시작했습니까? 3.위드코로나가 되면 마치 코로나 없었을 때(즉 지난 2019년까지)처럼 합니까? 이렇게 질문입니다. 아시는 분들만 답변부탁드립니다.,현재 위드코로나 진행 중입니다. 비수도권 지역 같은 경우에 현재 사적모임 12명까지 가능합니다. 단 미접종자는 최대 4명까지.,위드코로나 여부,33
코로나접종과 독감접종 간격 지금 중2인데 코로나와 독감접종 간격을 두고 접종 해야될것같은데 코로나1차를 11월 20일 맞는다면 독감 주사는 언제 맞아야 할까요? 그리고 보호자가 코로나접종시 동행 못하고 고3언니가 데리고 가면 안될까요?,"미성년자 접종에 대한 자세한 답변을 원하신다면, 병원이나 보건소 혹은 1339번으로 문의 하시기를 권해드립니다.",미성년자 접종,69
코로나19 증상 순서 원래 코로나 증상 순서가 발열부터인걸로 알고있는데 열부터 나진 않고 목 먼저 따갑기 시작했는데 그래도 코로나일수있나요..? 그저께는 열 하나도 안나고 목만 아프고 어제 저녁부터 열이 나기 시작했어요 고열은 아니고 미열이긴 한데..,"코로나 바이러스는 급성호흡기및 폐질환입니다. 일반적인 코로나의 증상은 오한 및 38도 이상의 발열 기침, 가래, 호흡곤란, 목아픔이 있습니다. 검사를 안해보고 증상만으로 코로나 진단을 하는건 불가능 합니다. 코로나 진단건사를 하시려면 1339번이나 가까운 보건소에 방문하시기 바랍니다.",증상 질문,0
코로나 백신 지금 06도 코로나 백신 맞을수있나요?,백신 접종과 관련된 상세한 내용은 다음 링크에서 확인 가능합니다. https://www.seoul.go.kr/coronaV/coronaStatus.do?menu_code=41,백신접종 시기,70
코로나 검사를 했습니다 그리고 나서 집에 왔는데 계속 기침도 하고 머리도 너무 아프고 목도 너무 아파요 혹시 제가 코로나에 걸린 건가요..?,"위 증상만으로 코로나라고 진단하지는 못합니다. 그러나 증상이 지속하고, 발열, 호흡기 증상이 악화되거나 특히 코로나 환자와 동선이 겹치는 경우라면 코로나 선별검사를 받도록 하십시오.",경미한 의심증상,2
"코로나 동선 겹침 문자 5월 2일날 갔던 곳이 코로나 확진자 방문으로 방문자 및 동반인은 검사를 받으라고 문자가 왔는데요 코로나 발생동향에 들어가서 본 결과 상호, 2일날이 아니라 5월 3일날 방문자라고 나와있습니다. 근데 이렇게 문자가 올 수 있나요? 그리고 이런 경우에는 코로나 검사 비용은 지불 해야 되나요?",죄송해요 무슨 말씀인지 이해하기 어려워요. 다른 형태로 질문을 해주시겠어요?,알수없음,84
코로나 검사 확진자랑 동선도 안 겹쳤고 검사 받으라는 문자도 안오긴 했는데 그냥 코로나 검사 받아도 되나요 ..?? 여태 한번도 안 받아 봐서 제가 코로나 음성인지 확실히 알거 싶어서요,"◈ 코로나 검사의 경우 사회적거리두기 2단계 이상 시(또는 별도 공지 기간), 역학적 연관성이나 증상 유무와 관계없이 코로나 19 진단검사가 가능합니다. ◈ 현재 선별진료소에서의 코로나 검사는 무료이며, 선별진료소가 아닌 병원 등에서는 검사가 유로로 진행되고 있습니다.",코로나 검사 비용,13
코로나 인가요 제가 수요일 밤에 자다가 목감기에 걸려서 괜찮아지긴했는데 아직 조금 아파요. 근데 그때는 열이 36.7이여서 코로나는 아닐줄알았는데 오늘 오전에는 37.1 정도로 오르고 방금 열을 잴때 37.7이 나왔어요. 기침도 나요. 코로나 일수도있나요?,"코로나는 감기와 비슷하여 구분하기가 어렵습니다. 일단 코로나의 첫번째 증상은 발열입니다. 38도 이상의 발열증상이 있을 경우 코로나일 가능성이 높으며, 시간이 지날수록 기침, 구토 및 설사, 어지럼증과 같은 증상들이 나타납니다. 검사를 먼저 받으시길 권해드립니다.",주의단계 의심증상,3
"코로나 확진 후 보험가입 코로나 걸리고 퇴원한지 3개월이 됬는데요 현대해상 보험 가입하려고 하니 서류들이 필요하다고, 보험사가 코로나 걸리고 나면 가입이 불가능하거나 많은서류들이 필요한가요?ㅠㅠ 지금, 일만 하다가 걸린 코로나.. 이제 그나마 보험가입 할 수 있는 여력이 생겨 알아보았더니 가입도 제한이고..",코로나19 확진 시 발현되는 증상이 100% 코로나로 인한 것이라면 치료비용은 국가에서 부담합니다. 다만 방역지침 위반으로 인한 확진 시에는 구상권 등이 청구될 수 있습니다.,코로나 치료 비용,14
위드코로나 반대 논문을 쓰려고 하는데 검증된 반대의견 좀 적어주세요ㅠㅠ,장점 1. 답답한 마스크를 벗고 좀 더 자유로운 생활이 가능해집니다. 2. 집합 제한이 풀려 평소 가기 힘들었던 곳들을 갈 수 있습니다. 단점 1. 코로나 감염자들이 더 늘어나게 됩니다. 2. 평소 조용했던 곳들이 더 혼잡해질 가능성이 높아집니다.,위드코로나 장단점,31
미열있고 기침하고 목아프고 머리아프고 설사도 하는데 코로나 증상인가요?,"코로나 바이러스는 급성호흡기및 폐질환입니다. 일반적인 코로나의 증상은 오한 및 38도 이상의 발열 기침, 가래, 호흡곤란, 목아픔이 있습니다. 검사를 안해보고 증상만으로 코로나 진단을 하는건 불가능 합니다. 코로나 진단건사를 하시려면 1339번이나 가까운 보건소에 방문하시기 바랍니다.",경미한 의심증상,2
코로나 백신 2차로 화이자를 맞고 하루뒤에 생리가 터졌고 10일째 생리가 끝나지 않고 있습니다 코로나 백신 부작용일까요? 맞다면 어떻게 부작용으로 인정을 받을수 있을까요..,백신 접종 부작용에 대한 더 자세한 내용은 다음 링크에서 확인하실 수 있습니다. https://korean.cdc.gov/coronavirus/2019-ncov/vaccines/expect/after.html,백신접종 부작용,71
"코로나 검사 무료 기준 , 폐기능이 떨어지고 기관지에 염증이 있는 것 같다는 정도의 말만 해주셨습니다. 일주일 전 제주도를 다녀왔는데 그것 때문에 코로나일까 걱정이 되는데 검사 비용이 많이 나올까봐 코로나 검사는 아직 못받았습니다. 기침을 계속 하는거면 코로나 증상이여서 무료로 검사를 받을 수 있나요?","◈ 코로나 검사의 경우 사회적거리두기 2단계 이상 시(또는 별도 공지 기간), 역학적 연관성이나 증상 유무와 관계없이 코로나 19 진단검사가 가능합니다. ◈ 현재 선별진료소에서의 코로나 검사는 무료이며, 선별진료소가 아닌 병원 등에서는 검사가 유로로 진행되고 있습니다.",코로나 검사 비용,13
코로나 언제 끝나요 코로나 언제쯤 사라질까요,"위드 코로나(With Corona), 사실상 코로나와 공존하는 것을 선언하였습니다. 사실상 코로나를 감기처럼 사람이 걸릴 수 있는 질병의 한 종류로 보고 같이 가겠다는 의미도 있습니다. 안타깝지만 코로나와 지내는 현 상황에 적응해나가는 것이 최선으로 보입니다.",코로나 종식 기간,16
"증상은 기침,코막힘,가래,미각후각 못 느낌 짠맛,단맛,쓴맛 이런건 느껴지데 그 음식의 맛을 못 느끼겠어요 그리고 열도 났었구요 콧물이랑 가래가 누런색이에요 만약 코로나 증상이면 코로나 검사 많이 아플까요?..","코로나는 감기와 증상이 비슷하여 구분하기 쉽지 않습니다. 일단 코로나의 첫번째 증상은 발열입니다. 38도 이상의 발열 증상이 있을 경우 코로나일 가능성이 높으며, 이 외에도 기침, 구토 및 설사, 어지럼증, 몸살, 미각 상실 등의 증상이 있습니다. 걱정이 되신다면 검사를 받아보시는 걸 권해드립니다.",경미한 의심증상,2
"코로나 백신 접종 예약 10부제로 코로나 백신 접종 예약이 진행된다고 하던데, 저는 40대입니다. 그러면 저는 언제 코로나 백신 접종 예약이 가능할까요? 접종시기요! 사전예약 10부제가 이해가 잘 되지 않아서요… 코로나 백신 접종 예약 방법에 대하여 자세히 좀 알려주시면 감사하겠습니다. 백신종류도요…. 시간이랑…",백신 접종과 관련된 상세한 내용은 다음 링크에서 확인 가능합니다. https://www.seoul.go.kr/coronaV/coronaStatus.do?menu_code=41,백신접종 시기,70
위드 코로나 하면 위드코로나 하면요 마스크 안 쓰면 외국처럼 사망자 나와서 마스크 쓰고 지낸다는데 그러면 평생 마스크 쓰라는 거 아녜요? 마스크 벗으면 죽고 코로나 없애지도 못해서 위드코로나 하는거니까요?,코로나19 사태 종식전까진 그렇습니다. 위드코로나는 거리두기나 인원제한 영업제한 풀어주는거지 마스크는 써야하거든요,위드코로나 마스크,28
"코로나검사 헤르페스 증상시 코로나검사하면 양성나오나요? 입안과 혀 입술이 엉망인데 동네이비인후과에서는 헤르페스라고하는데,너무 입안이 아파서 대학병원으로가려니 코로나 검사를 받아야한다고해서요.","대학병원에서는 코로나가 의심되서 검사를 받으라는것이 아닐 것입니다. 대학병원 진료를 보고싶다면 검사를 받고 오라는 것일 겁니다. 질문주신 증상은 코로나와 연관짓기 어려우니, 걱정없이 검사를 받으시고 대학병원 진료 보시면 될 것 같습니다.",대학병원 검사,74
코로나 검사 오늘 과외 영어 쌤이 코로나가 걸리셨다는 소릴들었읍니다 저는 백신 1차까지 맞은 중2 입니다 요즘들어 설사가 나오고 가끔식 오른쪽 가슴안이 아프면서 숨이 쉬기 힘들어집니다 증상이 설사와 폐렴이 같은데 백신 맞고도 코로나걸릴수 있는건가요…,백신 맞고도 코로나에 감염될 수 있습니다. 백신 2차까지 맞고 2주 지나도 코로나 걸릴 확률이 10%는 된다고 합니다. 코로나는 끊임없이 변이가 발생되고 있어서 돌파감염의 우려가 있습니다.,접종완료자 감염,58
코로나 인가요ㅠ 열이 37도에서 37.2 도 이고 목구멍은 언제보단 덜 아프고 기침은 딱히 없는데 코로나인가요ㅠ,열은 좀더 자주 측정하면서 경과를 보셔야합니다. 이러다가 열이오르면 1339 통화해보시는것이 좋겠습니다. 요즈음 몸이 불편한 증상이 생기면 코로나 때문에 걱정이 많습니다. 증상으로 코로나를 구별할 수는 없지만 코로나는 아닌것 같으니 너무 걱정하지마세요,경미한 의심증상,2
위드 코로나가 뭔가요,위드코로나는 코로나를 특별한 질병으로 취급하지 않고 독감과 같이 대하겠다는 것입니다. 그래서 기존의 거리두기 수칙을 완화할수 있게 됩니다.,위드코로나,26
타지 코로나 선별진료소 검사 제가 서울에 사는데 학교가 서울이 아닌 타지입니다! 타지역에서 코로나 무료 선별진료소( 야외광장이나 보건소)에서 코로나검사받으면 돈 내야 하나요? 할 경우에 관할구란에 기타적고 서울00구 라고 적으면되나요?,"◈ 코로나 검사의 경우 사회적거리두기 2단계 이상 시(또는 별도 공지 기간), 역학적 연관성이나 증상 유무와 관계없이 코로나 19 진단검사가 가능합니다. ◈ 현재 선별진료소에서의 코로나 검사는 무료이며, 선별진료소가 아닌 병원 등에서는 검사가 유로로 진행되고 있습니다.",코로나 검사 비용,13
"코로나 마른기침 , 날씨가 추워서 감기인가 싶으면서도 열도 안나서 코로나인가 무섭네요.. 목 기관지부터 어깨랑 쇄골 사이 음푹 들어간 부분으로 바로 윗쪽을 누르면 기침이 쉴세 없이 납니다. 코로나일까요? 침을 삼기면 목 중간부분이 이물감이 느껴지구요..","코로나 바이러스는 급성호흡기및 폐질환입니다. 일반적인 코로나의 증상은 오한 및 38도 이상의 발열 기침, 가래, 호흡곤란, 목아픔이 있습니다. 검사를 안해보고 증상만으로 코로나 진단을 하는건 불가능 합니다. 코로나 진단건사를 하시려면 1339번이나 가까운 보건소에 방문하시기 바랍니다.",경미한 의심증상,2
코로나 백신을 맞으면 좋은 장점이 있을까요?,코로나 백신은 감염을 예방할 수 있습니다. 물론 변이 바이러스 때문에 예방효과가 떨어지긴 하지만 코로나에 걸린다 하더라도 완치 후 후유증을 효과적으로 줄일 수 있습니다.,백신접종 장점,78
"코로나인지 알려주세요 저희 엄마네 회사 사장님이 코로나 양성이 나왔다고 오늘 연락 받았는데 저희 엄마가 어제부터 몸이 아프다고 하셨거든요. 소화가 잘 안 되신다면서, 지금 코로나 검사하러 가실려고 하긴 하는데 그때까지 기다리기 너무 초조해서..저희 엄마 증상도 코로나에 포함 되는지 알려주세요.",단순히 몸이 아프거나 소화가 안된다고 할 때는 코로나19 감염 여부를 판단하기 어렵습니다. 코로나19의 증상은 발열->기침->구토->설사 순입니다. 코로나19는 증상만으로 판단이 어렵기 때문에 검사를 통해 확인하는 수밖에 없습니다.,증상 질문,0
